885.65	906.95	878.85	901.9
901.9	915.55	894.36	896.8
896.75	912.3	894.9	910.85
910.85	925.3	908.55	910.35
910.3	919.5	905.3	915.1
916.15	917.55	908.3	912.85
912.85	923.91	911.35	922.85
923.25	930.45	917.25	925.8
925.8	928.6	919.95	926
926	933.8	922.15	931.05
930.75	933.55	914.95	917.8
917.85	929.25	916.35	924.55
924.55	940.3	923.75	938.15
938.15	956.1	935.75	953.3
953.35	961.25	949.8	957.4
953.85	959.7	952.55	958.4
957.25	957.25	939.8	951.35
951.35	959.25	946.45	949.3
949.3	965	943.65	959
958.95	980.05	956.2	978.6
977.95	988.55	966.85	974.6
974.65	986.5	969.25	981.35
981.35	990.05	960.55	962.9
962.95	981.7	960.65	979.85
979.8	983.6	952.55	953.8
955.4	959.45	943.2	951.5
951.55	962.2	941.7	954.5
954.48	965.3	946.75	954
954	961.85	942.45	954.45
954.6	957.95	935.75	938.75
938.45	938.9	925.88	927.9
927.85	939.4	927.5	934.4
934.4	940.05	927.65	938.1
938.1	941.55	929.96	932.95
932.95	938.9	930.8	935.5
933.6	934.6	918.05	921.8
921.85	926.79	912.8	925.4
925.4	942.4	922.2	931.25
931.3	939.98	929.85	939.1
939.1	948.3	936.33	939.85
937.3	942.55	934.25	937.45
937.5	944.8	923	926.1
926.15	946.3	917.45	940.35
940.35	941.2	926.3	929.4
929.35	934.15	926.3	932.15
932.1	932.1	920.43	924.7
924.75	931.9	921.13	924.2
924.25	925.45	904.9	909.2
909.25	918.4	906.25	911.8
911.75	915.15	906.75	912.45
912.35	923.15	907.7	919.85
919.9	927.4	917.6	925.25
925.15	942	924.25	938.65
938.75	940.05	932.5	936.95
937.26	939.75	931.65	935.7
934.35	954.95	934.35	948.45
948.5	953.6	944.25	948.2
948.25	954.55	944.6	950.85
950.9	957.2	947.3	948.8
948.7	954	946.25	951.45
950.6	958.7	947.4	953.45
953.4	956.5	934.1	937.1
937.05	940.7	925.45	929.55
929.55	936.9	928.45	934.05
934	956.65	932.2	951
953.75	962.05	951.4	956.5
956.4	970	950.78	966.45
966.5	967.85	958.83	963.05
963.1	971.55	955.9	963
962.95	964.9	953.05	954.95
954.25	956.6	942.25	945.95
946	949.6	941.75	945.75
945.75	952	939.85	946.65
946.7	960.6	941.45	954.6
954.55	959.05	942.1	947.5
946.6	947.7	930.15	934.25
934.25	939.75	933.8	938.1
938.15	945.03	931.8	941.7
941.6	945.55	937.1	940.45
940.4	957.85	937.7	953.47
952.45	956.8	934.45	941.45
